model_id,method,ablation,task,steering_factor,topk,accuracy
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,10,0.01,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,10,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,10,0.05,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,10,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,10,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,10,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,10,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,10,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,8,0.01,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,8,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,8,0.05,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,8,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,8,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,8,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,8,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,8,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,6,0.01,0.08
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,6,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,6,0.05,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,6,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,6,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,6,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,6,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,6,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,5,0.01,0.06
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,5,0.03,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,5,0.05,0.24
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,5,0.07,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,5,0.09,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,5,0.1,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,5,0.5,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,5,1.0,0.0
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,4,0.01,0.02
Qwen1.5-14B-Chat,random,steer,from_harmful-long_to_harmless,4,0.03,0.16
