model_id,method,ablation,task,steering_factor,topk,accuracy
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.01,0.54
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.03,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.05,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.07,0.74
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.09,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.1,0.86
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.01,0.22
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.03,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.05,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.07,0.84
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.09,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.1,0.86
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.01,0.48
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.03,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.05,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.07,0.56
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.09,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,1.0,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.01,0.42
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.03,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.05,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.07,0.7
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.09,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,1.0,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.01,0.02
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.03,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.05,0.64
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.07,0.76
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.09,0.88
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.01,0.74
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.03,0.86
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.05,0.3
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.07,0.68
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.09,0.24
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.1,0.78
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.5,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,1.0,0.62
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.01,0.48
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.03,0.2
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.05,0.52
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.07,0.68
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.09,0.44
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.1,0.78
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.5,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,1.0,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.01,0.54
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.03,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.05,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.07,0.76
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.09,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.1,0.9
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.5,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,1.0,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.01,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.03,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.05,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.07,0.52
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.09,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.1,0.9
